# Sequence file : ecoli_cds.fasta
# Uncap option is used.

# Sequence_name	Start_pos	End_pos	Stopped_or_skipped	Transit_path_length	Prob_log_score	HT_index
AAC74176.1	1	309	None	308	-1158.942	-3.762799
AAC74177.1	1	244	None	243	-914.7729	-3.764497
AAC74178.1	1	78	None	77	-283.2248	-3.678245
AAC74179.1	1	413	None	412	-1593.098	-3.866744
AAC74180.1	1	269	None	268	-1056.706	-3.942934
AAC74181.1	1	340	None	339	-1284.573	-3.789302
AAC74182.1	1	213	None	212	-800.5973	-3.776402
AAC74183.1	1	334	None	333	-1299.803	-3.903312
AAC74184.1	1	265	None	264	-1015.519	-3.846661
AAC74185.1	1	477	None	476	-1801.564	-3.784798
AAC74186.1	1	729	None	728	-2798.326	-3.843854
AAC74187.1	1	119	None	118	-451.3899	-3.825338
AAC74188.1	1	125	None	124	-494.3063	-3.986341
AAC74189.1	1	213	None	212	-811.4231	-3.827468
AAC74190.1	1	274	None	273	-1072.865	-3.929909
AAC74191.1	1	341	None	340	-1290.935	-3.796867
AAC74192.2	1	180	None	179	-696.3591	-3.890274
AAC74193.1	1	434	None	433	-1628.797	-3.761656
AAC74194.1	1	179	None	178	-692.7801	-3.892023
AAC74195.2	1	210	None	209	-819.6759	-3.921894
AAC74196.1	1	85	None	84	-323.1596	-3.847138
AAC74197.1	1	320	None	319	-1213.245	-3.803277
AAC74198.1	1	1148	None	1147	-4256.823	-3.711267
AAC74199.1	1	357	None	356	-1367.098	-3.840164
AAC74200.1	1	399	None	398	-1508.941	-3.79131
AAC74201.2	1	233	None	232	-857.047	-3.694168
AAC74202.1	1	414	None	413	-1552.36	-3.758741
AAC74203.1	1	303	None	302	-1156.579	-3.829731
AAC74204.2	1	242	None	241	-921.6387	-3.824227
AAC74205.1	1	262	None	261	-1051.272	-4.027863
AAC74206.2	1	153	None	152	-604.7989	-3.97894
AAC74207.1	1	348	None	347	-1300.456	-3.747712
AAC74208.1	1	264	None	263	-978.8678	-3.721931
AAC74209.1	1	275	None	274	-1017.97	-3.71522
AAC74210.1	1	378	None	377	-1449.732	-3.845443
AAC74211.1	1	408	None	407	-1517.132	-3.727598
AAC74212.2	1	373	None	372	-1397.784	-3.757485
AAC74213.1	1	486	None	485	-1863.913	-3.843121
AAC74214.1	1	223	None	222	-839.4758	-3.781423
AAC74215.1	1	456	None	455	-1687.344	-3.708448
AAC74216.1	1	213	None	212	-802.7346	-3.786484
AAC74217.2	1	368	None	367	-1370.715	-3.734919
AAC74218.1	1	153	None	152	-574.6634	-3.78068
AAC74219.2	1	217	None	216	-851.7	-3.943056
AAC74220.1	1	416	None	415	-1554.048	-3.744695
AAC74221.1	1	221	None	220	-947.6599	-4.307545
AAC74222.1	1	234	None	233	-989.5897	-4.247166
AAC74223.1	1	297	None	296	-1257.522	-4.248385
AAC74224.1	1	375	None	374	-1542.009	-4.123018
AAC74225.1	1	81	None	80	-337.0768	-4.21346
AAC74227.2	1	113	None	112	-461.2423	-4.118235
AAC74228.2	1	102	None	101	-421.2132	-4.170427
AAC74229.1	1	224	None	223	-922.785	-4.138049
AAC74230.2	1	66	None	65	-256.625	-3.948077
AAC74231.2	1	185	None	184	-723.3618	-3.931314
AAC74232.1	1	112	None	111	-470.1145	-4.235266
AAC74234.1	1	60	None	59	-222.9488	-3.778794
AAC74237.1	1	194	None	193	-749.8646	-3.885309
AAC74238.1	1	209	None	208	-843.1552	-4.053631
AAC74239.1	1	137	None	136	-540.3666	-3.973284
AAC74240.1	1	200	None	199	-785.8062	-3.948775
AAC74242.1	1	184	None	183	-745.2283	-4.072286
AAC74243.1	1	277	None	276	-1172.806	-4.249299
AAC74244.1	1	107	None	106	-460.3463	-4.342889
AAC74245.1	1	134	None	133	-539.681	-4.057752
AAC74246.1	1	243	None	242	-956.0067	-3.950441
AAC74247.1	1	403	None	402	-1613.388	-4.013403
AAC74248.1	1	78	None	77	-320.6649	-4.16448
AAC74249.1	1	90	None	89	-371.2643	-4.171509
AAC74250.1	1	88	None	87	-355.1578	-4.082274
AAC74251.1	1	82	None	81	-331.5186	-4.092822
AAC74252.2	1	507	None	506	-2038.258	-4.028178
ABD18651.1	1	72	None	71	-290.5961	-4.092903
AAC74255.2	1	109	None	108	-401.1709	-3.714546
AAC74256.5	1	114	None	113	-428.0421	-3.787983
ABP93440.1	1	57	None	56	-230.19	-4.110536
ABP93441.1	1	61	None	60	-264.1828	-4.403047
AAC74258.1	1	88	None	87	-325.5827	-3.74233
AAC74259.1	1	270	None	269	-1031.902	-3.836067
AAC74260.1	1	231	None	230	-909.9979	-3.956512
AAC74261.1	1	122	None	121	-487.6014	-4.029763
AAC74262.1	1	133	None	132	-540.5137	-4.0948
AAC74263.2	1	97	None	96	-370.8545	-3.863067
AAC74264.1	1	219	None	218	-834.3655	-3.827365
AAC74265.3	1	153	None	152	-584.5067	-3.845439
AAC74266.2	1	303	None	302	-1188.338	-3.934894
AAC74267.1	1	139	None	138	-535.7034	-3.881908
AAC74268.1	1	422	None	421	-1665.553	-3.956182
AAC74269.1	1	176	None	175	-660.2321	-3.772755
AAC74270.1	1	513	None	512	-1939.698	-3.788472
AAC74271.1	1	239	None	238	-902.5145	-3.792078
AAC74272.1	1	510	None	509	-1945.524	-3.822248
AAC74273.1	1	432	None	431	-1620.802	-3.760562
AAC74274.1	1	356	None	355	-1360.848	-3.833374
AAC74275.2	1	578	None	577	-2184.96	-3.786758
AAC74276.1	1	304	None	303	-1167.497	-3.853125
AAC74277.2	1	203	None	202	-781.1661	-3.867159
AAC74278.1	1	244	None	243	-944.1771	-3.885502
AAC74279.1	1	84	None	83	-321.0734	-3.868354
AAC74280.1	1	146	None	145	-578.9304	-3.992624
AAC74281.1	1	565	None	564	-2143.225	-3.800044
AAC74282.4	1	472	None	471	-1818.152	-3.860195
AAC74283.1	1	210	None	209	-793.1319	-3.79489
AAC74284.2	1	356	None	355	-1362.772	-3.838793
AAC74285.2	1	639	None	638	-2480.335	-3.887673
AAC74286.1	1	955	None	954	-3824.608	-4.009023
AAC74287.1	1	363	None	362	-1347.098	-3.721265
AAC74288.1	1	194	None	193	-752.6851	-3.899923
AAC74289.1	1	92	None	91	-355.9183	-3.911191
AAC74290.2	1	559	None	558	-2129.202	-3.815775
AAC74291.1	1	315	None	314	-1200.282	-3.822553
AAC74292.1	1	283	None	282	-1105.727	-3.921018
AAC74293.1	1	207	None	206	-790.3443	-3.836623
AAC74294.1	1	418	None	417	-1563.336	-3.749008
AAC74295.1	1	360	None	359	-1336.275	-3.722216
AAC74296.1	1	277	None	276	-1058.563	-3.835373
AAC74297.1	1	130	None	129	-493.8821	-3.828543
AAC74298.1	1	269	None	268	-1028.943	-3.839341
AAC74299.1	1	284	None	283	-1060.064	-3.745809
AAT48126.1	1	35	None	34	-126.4595	-3.719397
AAT48127.1	1	35	None	34	-126.2454	-3.713101
AAT48128.1	1	35	None	34	-126.4595	-3.719397
AAC74300.1	1	366	None	365	-1398.353	-3.831105
AAC74301.1	1	76	None	75	-289.4866	-3.859822
AAC74302.2	1	231	None	230	-889.5934	-3.867797
AAC74303.1	1	117	None	116	-454.3701	-3.916984
AAC74304.2	1	464	None	463	-1811.221	-3.911925
AAC74305.1	1	216	None	215	-806.4353	-3.750862
AAC74306.1	1	598	None	597	-2283.125	-3.824331
AAC74307.1	1	463	None	462	-1774.334	-3.84055
AAC74308.1	1	1247	None	1246	-4660.607	-3.740455
AAC74309.1	1	512	None	511	-1909.401	-3.736597
AAC74310.1	1	236	None	235	-857.0556	-3.647045
AAC74311.1	1	225	None	224	-833.0717	-3.71907
AAC74313.2	1	29	None	28	-126.4985	-4.517802
AAC74314.1	1	280	None	279	-1070.25	-3.83602
AAC74315.1	1	152	None	151	-623.1334	-4.126711
AAC74316.2	1	301	None	300	-1190.659	-3.968862
AAC74317.1	1	337	None	336	-1316.852	-3.919202
AAC74318.1	1	302	None	301	-1156.651	-3.842693
AAC74319.1	1	137	None	136	-516.9769	-3.801301
AAC74320.1	1	205	None	204	-818.8728	-4.014083
AAC74323.1	1	891	None	890	-3406.732	-3.827789
AAC74324.1	1	215	None	214	-829.9149	-3.878107
AAC74325.1	1	543	None	542	-2090.494	-3.857
AAC74326.1	1	306	None	305	-1186.521	-3.890234
AAC74327.1	1	302	None	301	-1152.989	-3.830528
AAT48129.1	1	337	None	336	-1285.844	-3.826917
AAC74329.1	1	334	None	333	-1297.746	-3.897136
AAC74330.2	1	109	None	108	-398.2832	-3.687807
AAC74331.1	1	486	None	485	-1883.481	-3.883465
ABP93442.1	1	57	None	56	-234.5802	-4.188933
AAC74332.1	1	417	None	416	-1643.628	-3.951029
AAC74333.2	1	98	None	97	-385.2075	-3.971211
AAC74334.1	1	239	None	238	-925.8965	-3.890322
AAC74335.1	1	132	None	131	-520.3259	-3.971953
AAC74336.1	1	179	None	178	-686.2991	-3.855613
AAC74337.1	1	247	None	246	-957.2909	-3.891426
AAC74338.1	1	212	None	211	-811.8048	-3.847416
AAC74339.1	1	168	None	167	-656.0415	-3.928392
AAC74340.1	1	166	None	165	-634.3218	-3.844374
AAC74341.2	1	59	None	58	-221.9581	-3.826863
AAC74342.1	1	268	None	267	-1005.862	-3.767274
AAC74343.1	1	397	None	396	-1478.888	-3.734566
AAC74344.3	1	453	None	452	-1726.991	-3.820776
AAC74345.1	1	531	None	530	-1973.64	-3.723849
AAC74346.1	1	520	None	519	-1977.104	-3.809449
AAC74347.1	1	14	None	13	-51.48784	-3.960603
AAC74348.1	1	293	None	292	-1142.434	-3.912446
AAC74349.2	1	206	None	205	-776.404	-3.787337
AAC74350.1	1	631	None	630	-2516.627	-3.994647
AAC74351.1	1	291	None	290	-1097.179	-3.783377
AAC74352.1	1	196	None	195	-739.4889	-3.792251
AAC74353.1	1	252	None	251	-963.3879	-3.838199
AAC74354.1	1	349	None	348	-1313.445	-3.774269
AAC74355.1	1	83	None	82	-310.6244	-3.788102
AAC74356.1	1	865	None	864	-3267.602	-3.781947
AAC74357.1	1	324	None	323	-1255.681	-3.887558
ABD18655.2	1	54	None	53	-207.7583	-3.919967
ABD18656.2	1	55	None	54	-211.7897	-3.922031
AAC74358.1	1	891	None	890	-3420.339	-3.843077
AAC74359.1	1	196	None	195	-748.6051	-3.839001
AAC74360.1	1	254	None	253	-1003.572	-3.966686
AAC74361.1	1	102	None	101	-390.8798	-3.870097
AAC74362.1	1	389	None	388	-1485.426	-3.828416
AAC74363.1	1	245	None	244	-941.3236	-3.857884
AAC74364.2	1	108	None	107	-411.2751	-3.843692
AAC74365.1	1	72	None	71	-282.9619	-3.985379
AAC74366.1	1	249	None	248	-964.2381	-3.888057
ABP93443.1	1	57	None	56	-220.7053	-3.941166
AAC74367.1	1	661	None	660	-2616.102	-3.963791
ACO59991.1	1	34	None	33	-134.1778	-4.065993
AAC74368.1	1	644	None	643	-2411.822	-3.750889
AAC74369.2	1	375	None	374	-1504.038	-4.021492
AAC74370.1	1	262	None	261	-991.3687	-3.798347
AAC74371.1	1	117	None	116	-474.7559	-4.092723
AAC74372.1	1	268	None	267	-1009.964	-3.782637
AAC74373.1	1	330	None	329	-1265.294	-3.845878
AAC74374.1	1	296	None	295	-1114.476	-3.777885
AAC74375.1	1	321	None	320	-1218.732	-3.808537
AAC74376.1	1	547	None	546	-2092.86	-3.833078
AAC74377.1	1	81	None	80	-304.8292	-3.810365
AAC74378.2	1	461	None	460	-1739.507	-3.781537
AAC74379.2	1	472	None	471	-1792.256	-3.805215
AAC74380.2	1	254	None	253	-1012.131	-4.000519
AAC74381.1	1	185	None	184	-719.0547	-3.907906
AAC74382.1	1	495	None	494	-1821.867	-3.68799
AAC74383.1	1	426	None	425	-1587.444	-3.735163
AAC74384.1	1	421	None	420	-1566.685	-3.730202
AAC74385.2	1	325	None	324	-1228.358	-3.791227
AAC74386.1	1	222	None	221	-812.7204	-3.677468
AAC74387.1	1	74	None	73	-275.559	-3.774781
AAC74388.1	1	119	None	118	-433.9215	-3.677301
AAC74389.1	1	73	None	72	-275.2093	-3.822351
AAC74390.1	1	104	None	103	-390.7233	-3.79343
AAC74391.2	1	559	None	558	-2180.229	-3.907221
AAC74392.1	1	430	None	429	-1600.674	-3.731175
AAC74393.1	1	293	None	292	-1097.177	-3.757457
AAC74394.1	1	280	None	279	-1043.936	-3.741707
AAC74395.1	1	350	None	349	-1311.277	-3.757242
AAC74396.2	1	262	None	261	-968.7794	-3.711798
AAC74397.1	1	351	None	350	-1335.108	-3.814593
AAC74398.1	1	755	None	754	-2897.986	-3.843483
AAC74399.1	1	219	None	218	-834.7758	-3.829247
AAC74401.1	1	301	None	300	-1147.19	-3.823967
AAC74402.1	1	332	None	331	-1257.925	-3.800378
AAC74403.1	1	465	None	464	-1755.829	-3.784114
AAC74404.1	1	353	None	352	-1326.445	-3.768311
AAC74405.1	1	513	None	512	-1958.799	-3.825778
AAC74406.1	1	168	None	167	-629.0237	-3.766609
AAC74407.2	1	321	None	320	-1231.302	-3.847819
AAC74408.2	1	242	None	241	-946.5543	-3.927611
AAC74409.2	1	306	None	305	-1190.226	-3.902382
AAC74410.1	1	299	None	298	-1217.773	-4.086487
AAC74411.2	1	537	None	536	-2057.344	-3.838328
AAC74412.1	1	343	None	342	-1313.951	-3.841962
AAC74413.1	1	338	None	337	-1329.719	-3.945753
AAC74414.1	1	85	None	84	-323.2939	-3.848737
AAC74415.1	1	316	None	315	-1194.123	-3.790868
AAC74416.1	1	250	None	249	-943.951	-3.790968
AAC74417.1	1	171	None	170	-666.8707	-3.922769
AAC74418.2	1	508	None	507	-1979.687	-3.904707
AAC74419.1	1	481	None	480	-1856.992	-3.868734
AAC74420.2	1	436	None	435	-1689.653	-3.884259
AAC74421.1	1	302	None	301	-1172.554	-3.895529
AAC74422.1	1	187	None	186	-706.7905	-3.799949
AAC74423.2	1	410	None	409	-1604.789	-3.923689
AAC74424.1	1	327	None	326	-1265.338	-3.881406
AAC74425.1	1	457	None	456	-1755.267	-3.84927
AAC74426.1	1	311	None	310	-1175.726	-3.792664
AAC74427.1	1	411	None	410	-1689.136	-4.119843
AAC74428.2	1	71	None	70	-284.8702	-4.069574
AAC74429.1	1	69	None	68	-284.6696	-4.186318
AAC74430.1	1	64	None	63	-271.5654	-4.310562
AAC74431.1	1	269	None	268	-1060.4	-3.956715
AAC74432.1	1	866	None	865	-3421.216	-3.955163
AAC74433.1	1	91	None	90	-350.3132	-3.892369
ABD18659.1	1	56	None	55	-226.1886	-4.112519
AAC74434.2	1	73	None	72	-295.2179	-4.100248
AAC74435.2	1	162	None	161	-668.7482	-4.153716
AAC74436.2	1	51	None	50	-202.3204	-4.046408
AAC74437.2	1	44	None	43	-169.7293	-3.947193
AAC74438.1	1	158	None	157	-661.4937	-4.213336
AAC74439.1	1	98	None	97	-412.6579	-4.254205
AAC74440.1	1	140	None	139	-541.2103	-3.893599
AAC74441.1	1	285	None	284	-1166.002	-4.105641
AAC74442.1	1	248	None	247	-967.0402	-3.915143
ABD18660.1	1	61	None	60	-243.5156	-4.058593
AAC74445.1	1	485	None	484	-2046.499	-4.228304
AAC74447.1	1	87	None	86	-338.5109	-3.936173
AAC74452.1	1	326	None	325	-1278.515	-3.933893
AAC74454.2	1	1120	None	1119	-4507.473	-4.028126
AAC74455.1	1	191	None	190	-743.9436	-3.915492
AAC74456.1	1	196	None	195	-795.2294	-4.078099
AAC74457.2	1	77	None	76	-312.0494	-4.105913
AAC74458.2	1	144	None	143	-562.2778	-3.932012
AAC74459.1	1	377	None	376	-1439.236	-3.827755
AAC74460.1	1	1174	None	1173	-4465.75	-3.807119
ABD18661.1	1	88	None	87	-350.339	-4.026885
AAC74461.1	1	140	None	139	-517.7621	-3.724907
AAC74462.1	1	329	None	328	-1228.103	-3.744218
AAC74463.1	1	879	None	878	-3371.419	-3.839885
AAC74464.1	1	61	None	60	-232.4383	-3.873971
AAC74465.2	1	108	None	107	-422.0816	-3.944688
AAC74466.1	1	301	None	300	-1176.707	-3.922358
AAC74467.2	1	499	None	498	-1935.401	-3.886347
AAC74468.1	1	757	None	756	-2886.512	-3.818137
AAC74469.1	1	681	None	680	-2619.39	-3.852044
AAC74470.1	1	309	None	308	-1184.018	-3.844215
AAC74471.1	1	95	None	94	-363.9946	-3.872283
AAC74472.1	1	248	None	247	-935.0879	-3.785781
AAC74473.4	1	165	None	164	-645.9584	-3.938771
AAC74474.1	1	356	None	355	-1346.956	-3.794241
AAC74475.1	1	255	None	254	-969.1541	-3.815567
AAC74476.1	1	262	None	261	-1001.604	-3.837562
AAC74477.1	1	475	None	474	-1821.212	-3.84222
AAC74478.1	1	140	None	139	-530.931	-3.819648
AAC74479.1	1	401	None	400	-1546.495	-3.866238
AAC74480.1	1	437	None	436	-1689.474	-3.874941
AAC74481.1	1	316	None	315	-1219.444	-3.871251
AAC74482.1	1	196	None	195	-753.4683	-3.86394
ACO59992.1	1	21	None	20	-87.63386	-4.381693
AAC74484.1	1	301	None	300	-1225.15	-4.083834
AAC74485.2	1	121	None	120	-479.4277	-3.995231
AAC74486.1	1	383	None	382	-1629.597	-4.265961
AAC74488.1	1	286	None	285	-1106.731	-3.883267
AAC74489.2	1	768	None	767	-3095.597	-4.03598
AAC74490.2	1	201	None	200	-801.6092	-4.008046
AAC74491.1	1	298	None	297	-1191.715	-4.01251
AAC74492.1	1	585	None	584	-2289.465	-3.920317
AAC74493.1	1	430	None	429	-1716.318	-4.000741
AAC74494.1	1	201	None	200	-754.7404	-3.773702
AAC74495.2	1	1300	None	1299	-4854.127	-3.736818
AAC74496.1	1	266	None	265	-1045.549	-3.945468
AAC74497.1	1	479	None	478	-1840.834	-3.851116
AAC74500.2	1	176	None	175	-702.5234	-4.014419
AAC74501.1	1	57	None	56	-224.1073	-4.001916
AAT48130.1	1	49	None	48	-205.9956	-4.291574
AAC74502.1	1	55	None	54	-227.5585	-4.214046
AAC74503.1	1	546	None	545	-2136.905	-3.920927
AAC74504.2	1	307	None	306	-1217.396	-3.978418
AAC74505.1	1	447	None	446	-1729.729	-3.878316
AAC74506.3	1	551	None	550	-2120.786	-3.855974
AAC74508.2	1	74	None	73	-292.1989	-4.002725
AAC74509.1	1	179	None	178	-692.0727	-3.888049
AAC74510.1	1	326	None	325	-1276.08	-3.926399
AAC74511.1	1	330	None	329	-1264.28	-3.842797
AAC74512.1	1	197	None	196	-749.659	-3.824791
AAC74513.1	1	222	None	221	-859.664	-3.889882
AAC74514.2	1	382	None	381	-1535.1	-4.029134
AAC74515.2	1	391	None	390	-1502.694	-3.853062
AAC74516.1	1	178	None	177	-708.2993	-4.001691
AAC74517.2	1	653	None	652	-2472.762	-3.79258
AAC74518.1	1	76	None	75	-297.9214	-3.972286
AAC74519.2	1	58	None	57	-236.5793	-4.150514
AAC74520.2	1	138	None	137	-530.9139	-3.875284
AAC74521.1	1	468	None	467	-1791.744	-3.836711
AAC74522.1	1	381	None	380	-1449.642	-3.814849
AAC74523.1	1	337	None	336	-1285.929	-3.82717
AAC74524.1	1	313	None	312	-1175.826	-3.768673
AAC74525.1	1	264	None	263	-1000.862	-3.805561
AAC74526.1	1	474	None	473	-1816.715	-3.840836
ABP93444.1	1	31	None	30	-123.6406	-4.121352
AAC74527.2	1	57	None	56	-216.7215	-3.870027
AAC74528.1	1	77	None	76	-279.9477	-3.683523
AAC74529.1	1	149	None	148	-574.3668	-3.880857
AAC74530.1	1	172	None	171	-656.0218	-3.836385
AAC74531.4	1	345	None	344	-1344.242	-3.90768
AAC74532.2	1	221	None	220	-871.5922	-3.961783
AAC74533.1	1	700	None	699	-2726.544	-3.900635
AAC74534.1	1	353	None	352	-1303.814	-3.704017
AAC74535.2	1	499	None	498	-1895.257	-3.805737
AAC74536.1	1	205	None	204	-816.0522	-4.000256
AAC74537.1	1	70	None	69	-284.8035	-4.127588
AAC74539.1	1	160	None	159	-659.9684	-4.150745
AAC74542.1	1	378	None	377	-1536.237	-4.074899
AAC74543.1	1	77	None	76	-303.393	-3.992013
AAC74544.2	1	189	None	188	-746.4009	-3.970218
AAC74545.1	1	281	None	280	-1079.733	-3.856189
AAC74546.1	1	297	None	296	-1135.461	-3.836018
AAC74547.1	1	226	None	225	-876.5	-3.895555
AAC74548.1	1	231	None	230	-877.7004	-3.816089
AAC74549.1	1	514	None	513	-1960.763	-3.82215
AAC74550.1	1	1246	None	1245	-4732.26	-3.801012
AAD13433.1	1	462	None	461	-1790.913	-3.884844
AAD13437.3	1	293	None	292	-1153.926	-3.951802
AAD13439.1	1	294	None	293	-1130.083	-3.856937
AAD13440.1	1	217	None	216	-810.6194	-3.752868
AAD13441.2	1	94	None	93	-354.9749	-3.816935
AAC74551.2	1	336	None	335	-1281.754	-3.826133
AAC74552.2	1	565	None	564	-2115.343	-3.750608
AAC74553.1	1	45	None	44	-175.0244	-3.977827
AAC74554.2	1	71	None	70	-274.3148	-3.918782
AAC74555.1	1	143	None	142	-538.7647	-3.794118
AAC74556.1	1	308	None	307	-1200.391	-3.91007
AAC74557.1	1	328	None	327	-1277.36	-3.906301
AAC74558.1	1	298	None	297	-1150.652	-3.874249
AAC74559.1	1	340	None	339	-1287.284	-3.797297
AAC74560.1	1	516	None	515	-1979.888	-3.844443
AAC74561.1	1	193	None	192	-753.8062	-3.926074
AAC74562.2	1	799	None	798	-3046.227	-3.817328
AAC74563.3	1	460	None	459	-1783.665	-3.885981
AAC74564.1	1	439	None	438	-1763.636	-4.026567
AAC74565.1	1	511	None	510	-1976.111	-3.874727
AAC74566.1	1	466	None	465	-1757.756	-3.780119
AAC74567.1	1	931	None	930	-3615.405	-3.887533
AAC74568.1	1	790	None	789	-3082.157	-3.90641
AAC74569.1	1	561	None	560	-2216.163	-3.957434
AAC74570.2	1	385	None	384	-1547.136	-4.029001
AAC74571.2	1	560	None	559	-2206.567	-3.947347
AAC74572.1	1	253	None	252	-1023.818	-4.06277
AAC74573.1	1	65	None	64	-260.9525	-4.077383
AAC74574.1	1	759	None	758	-3030.807	-3.998426
AAC74575.1	1	304	None	303	-1255.475	-4.143482
AAC74576.1	1	167	None	166	-673.1088	-4.054872
AAC74577.1	1	176	None	175	-714.5326	-4.083044
AAC74580.1	1	440	None	439	-1753.021	-3.993214
AAC74581.1	1	88	None	87	-336.468	-3.867448
AAC74584.1	1	530	None	529	-2069.053	-3.911253
AAC74585.1	1	317	None	316	-1218.578	-3.856259
AAC74586.1	1	511	None	510	-1945.257	-3.81423
AAC74587.1	1	342	None	341	-1287.133	-3.774584
AAC74588.1	1	330	None	329	-1261.166	-3.833331
AAC74589.1	1	340	None	339	-1296.412	-3.824223
AAC74590.1	1	291	None	290	-1095.157	-3.776402
AAC74591.1	1	96	None	95	-363.9778	-3.831345
AAC74592.1	1	252	None	251	-975.2914	-3.885623
AAC74593.2	1	304	None	303	-1185.574	-3.912786
AAT48131.1	1	483	None	482	-1796.972	-3.728158
AAC74595.1	1	315	None	314	-1218.08	-3.879236
AAC74596.1	1	119	None	118	-458.8387	-3.888464
AAC74597.1	1	308	None	307	-1196.169	-3.896316
AAC74598.2	1	462	None	461	-1752.914	-3.802417
AAC74599.1	1	293	None	292	-1133.64	-3.882328
AAC74600.1	1	371	None	370	-1530.14	-4.135515
AAC74601.1	1	396	None	395	-1529.442	-3.872004
AAC74602.1	1	221	None	220	-843.4481	-3.833855
AAC74603.2	1	144	None	143	-554.8967	-3.880396
AAC74604.2	1	127	None	126	-501.8436	-3.982886
AAC74605.1	1	72	None	71	-290.6597	-4.093798
AAC74606.2	1	299	None	298	-1154.041	-3.872621
AAC74607.1	1	395	None	394	-1538.378	-3.904512
ABP93445.1	1	31	None	30	-117.7995	-3.92665
AAC74608.1	1	296	None	295	-1173.367	-3.977515
AAC74609.1	1	130	None	129	-510.0829	-3.954131
AAC74610.1	1	172	None	171	-679.4452	-3.973364
AAC74611.1	1	681	None	680	-2578.51	-3.791927
AAC74612.1	1	248	None	247	-933.5608	-3.779598
AAC74613.1	1	228	None	227	-850.9582	-3.748714
AAC74614.1	1	67	None	66	-250.407	-3.794045
AAC74615.1	1	486	None	485	-1879.615	-3.875496
AAC74617.2	1	77	None	76	-311.6685	-4.100901
AAC74618.1	1	196	None	195	-793.6285	-4.06989
AAC74619.1	1	191	None	190	-743.7861	-3.914664
AAC74620.1	1	320	None	319	-1299.863	-4.074805
ABD18667.1	1	77	None	76	-313.7874	-4.128781
AAC74622.2	1	136	None	135	-574.7856	-4.257671
AAC74623.2	1	57	None	56	-216.6904	-3.869472
AAC74624.2	1	51	None	50	-208.3726	-4.167453
AAC74625.1	1	70	None	69	-267.4654	-3.87631
AAC74626.1	1	165	None	164	-657.7071	-4.010409
ACO59993.1	1	84	None	83	-342.5195	-4.126741
AAC74627.1	1	177	None	176	-701.4395	-3.985452
AAC74628.1	1	103	None	102	-408.4137	-4.004056
AAC74629.2	1	71	None	70	-277.2887	-3.961268
AAC74630.1	1	71	None	70	-279.9316	-3.999023
AAC74631.1	1	70	None	69	-273.4082	-3.962438
AAC74632.2	1	250	None	249	-1020.822	-4.099688
AAC74633.4	1	349	None	348	-1383.048	-3.974277
AAC74634.1	1	83	None	82	-330.4056	-4.029336
AAC74635.1	1	51	None	50	-210.7872	-4.215744
AAC74636.1	1	95	None	94	-391.2214	-4.161929
AAC74637.1	1	79	None	78	-309.9575	-3.973815
AAC74638.1	1	101	None	100	-425.5154	-4.255154
AAC74639.1	1	110	None	109	-428.2119	-3.928549
AAC74642.1	1	76	None	75	-308.3812	-4.11175
AAC74643.1	1	135	None	134	-557.8203	-4.162838
AAC74644.1	1	51	None	50	-194.5072	-3.890144
AAC74645.2	1	42	None	41	-158.2448	-3.85963
AAC74646.1	1	72	None	71	-271.2539	-3.820478
AAC74647.1	1	62	None	61	-241.701	-3.962311
AAC74648.1	1	63	None	62	-251.9079	-4.063031
AAC74652.1	1	339	None	338	-1298.953	-3.843057
AAC74653.1	1	404	None	403	-1555.524	-3.85986
AAC74654.1	1	108	None	107	-413.623	-3.865636
AAC74655.1	1	113	None	112	-432.8813	-3.865012
AAC74656.1	1	186	None	185	-708.4972	-3.829715
AAC74657.2	1	236	None	235	-925.93	-3.940127
AAC74658.2	1	101	None	100	-407.0029	-4.070029
AAC74659.1	1	808	None	807	-3120.076	-3.866265
AAC74660.4	1	807	None	806	-3167.365	-3.929733
AAC74661.1	1	205	None	204	-798.3734	-3.913595
AAC74662.1	1	284	None	283	-1110.772	-3.92499
AAC74663.2	1	204	None	203	-780.1997	-3.843348
AAC74664.2	1	418	None	417	-1628.502	-3.90528
AAC74665.2	1	231	None	230	-879.0222	-3.821836
AAC74666.1	1	406	None	405	-1558.346	-3.847769
AAC74667.1	1	297	None	296	-1137.611	-3.843281
AAC74668.1	1	417	None	416	-1624.84	-3.905866
AAC74669.2	1	102	None	101	-390.163	-3.863
ABP93446.1	1	27	None	26	-99.26839	-3.818015
AAC74670.1	1	273	None	272	-1073.106	-3.945243
AAC74671.1	1	109	None	108	-409.7297	-3.793793
AAC74672.1	1	121	None	120	-457.5118	-3.812598
AAC74673.1	1	344	None	343	-1294.769	-3.774836
AAC74674.1	1	462	None	461	-1743.116	-3.781163
AAC74675.1	1	510	None	509	-1927.107	-3.786065
AAC74676.1	1	314	None	313	-1188.738	-3.797884
AAC74677.1	1	460	None	459	-1739.629	-3.790041
AAC74678.1	1	240	None	239	-912.5125	-3.818044
AAC74679.1	1	111	None	110	-423.4524	-3.849567
AAC74680.2	1	239	None	238	-932.5101	-3.91811
AAC74681.1	1	433	None	432	-1659.349	-3.841087
AAC74682.1	1	309	None	308	-1207.962	-3.921954
AAC74683.1	1	467	None	466	-1770.751	-3.799894
AAC74684.1	1	548	None	547	-2063.883	-3.773095
AAC74685.1	1	391	None	390	-1473.221	-3.77749
